2025-11-26 22:28:35 - step,loss,accuracy
2025-11-26 22:28:38 - 118,2.307861,0.187500
2025-11-26 22:28:38 - 119,2.176758,0.218750
2025-11-26 22:28:38 - 120,2.202637,0.156250
2025-11-26 22:28:38 - 121,2.255371,0.218750
2025-11-26 22:28:38 - 122,2.237305,0.250000
2025-11-26 22:28:38 - 123,2.188721,0.250000
2025-11-26 22:28:38 - 124,2.189209,0.218750
2025-11-26 22:28:38 - 125,2.169678,0.187500
2025-11-26 22:28:38 - 126,2.300537,0.062500
2025-11-26 22:28:38 - 127,2.167236,0.218750
2025-11-26 22:28:38 - 128,2.179199,0.156250
2025-11-26 22:28:38 - 129,2.283203,0.093750
2025-11-26 22:28:38 - 130,2.259277,0.125000
2025-11-26 22:28:38 - 131,2.209961,0.187500
2025-11-26 22:28:38 - 132,2.107178,0.281250
2025-11-26 22:28:38 - 133,2.214600,0.125000
2025-11-26 22:28:38 - 134,2.084717,0.218750
2025-11-26 22:28:38 - 135,2.224854,0.125000
2025-11-26 22:28:38 - 136,2.244873,0.187500
2025-11-26 22:28:38 - 137,2.274170,0.156250
2025-11-26 22:28:38 - 138,2.171143,0.250000
2025-11-26 22:28:38 - 139,2.226562,0.218750
2025-11-26 22:28:38 - 140,2.420166,0.093750
2025-11-26 22:28:38 - 141,2.204346,0.250000
2025-11-26 22:28:38 - 142,2.098633,0.343750
2025-11-26 22:28:38 - 143,2.309326,0.187500
2025-11-26 22:28:38 - 144,2.144531,0.218750
2025-11-26 22:28:38 - 145,2.187744,0.218750
2025-11-26 22:28:38 - 146,2.327393,0.062500
2025-11-26 22:28:38 - 147,2.169922,0.125000
2025-11-26 22:28:38 - 148,2.255371,0.125000
2025-11-26 22:28:38 - 149,2.190430,0.218750
2025-11-26 22:28:38 - 150,2.222900,0.062500
2025-11-26 22:28:38 - 151,2.118652,0.281250
2025-11-26 22:28:38 - 152,2.256592,0.125000
2025-11-26 22:28:38 - 153,2.166748,0.218750
2025-11-26 22:28:38 - 154,2.240723,0.187500
2025-11-26 22:28:38 - 155,2.244629,0.218750
